id,url,title,episode_title
0,https://www.rottentomatoes.com/tv/best_of_american_pickers/s19/e17,american pickers,the doctor is in
1,https://www.rottentomatoes.com/tv/grand_crew/s01/e10,grand crew,wine & art
2,https://www.rottentomatoes.com/tv/best_of_american_pickers/s05/e06,american pickers,what happens in sturgis...
3,https://www.rottentomatoes.com/tv/a_p_bio/s03/e07,a.p. bio,aces wild
4,https://www.rottentomatoes.com/tv/a_p_bio/s04,a.p. bio,the perfect date from hell
5,https://www.rottentomatoes.com/tv/the_amber_ruffin_show/s01/e09,the amber ruffin show,episode #09
6,https://www.rottentomatoes.com/tv/keeping_up_with_the_kardashians/s05/e01,keeping up with the kardashians,kim's house party
7,https://www.rottentomatoes.com/tv/the_amber_ruffin_show/s03/e04,the amber ruffin show,episode #04
8,https://www.rottentomatoes.com/tv/a_p_bio/s04/e08,a.p. bio,the harvard pen
9,https://www.rottentomatoes.com/tv/keeping_up_with_the_kardashians/s13/e08,keeping up with the kardashians,guilt trip
10,https://www.rottentomatoes.com/tv/hells_kitchen/s11/e19,hell's kitchen,5 chefs
11,https://www.rottentomatoes.com/tv/a_p_bio,a.p. bio,that that that
12,https://www.rottentomatoes.com/tv/hells_kitchen/s11,hell's kitchen,11 chefs
13,https://www.rottentomatoes.com/tv/american_pickers_bonus_buys/s02/e82/,american pickers,pick your battle
14,https://www.rottentomatoes.com/tv/a_little_late_with_lilly_singh/s01/e44,a little late with lilly singh,leslie odom jr.
15,https://www.rottentomatoes.com/tv/best_of_american_pickers/s06/e01,american pickers,boys' toys
16,https://www.rottentomatoes.com/tv/hells_kitchen/s08/e14,hell's kitchen,4 chefs compete again
17,https://www.rottentomatoes.com/tv/keeping_up_with_the_kardashians/s04/e07,keeping up with the kardashians,weekend from hell
18,https://www.rottentomatoes.com/tv/a_little_late_with_lilly_singh/s01/e65,a little late with lilly singh,"natasha leggero, moshe kasher"
19,https://www.rottentomatoes.com/tv/best_of_american_pickers/s08/e08,american pickers,hometown pickin'
20,https://www.rottentomatoes.com/tv/a_p_bio/s04/e01,a.p. bio,tornado!
21,https://www.rottentomatoes.com/tv/the_amber_ruffin_show/s01/e02,the amber ruffin show,episode #02
22,https://www.rottentomatoes.com/tv/a_p_bio/s03/e08,a.p. bio,katie holmes day
23,https://www.rottentomatoes.com/tv/hells_kitchen/s11/e19,hell's kitchen,19 chefs compete
24,https://www.rottentomatoes.com/tv/a_p_bio/s04/e03,a.p. bio,an oath to rusty
25,https://www.rottentomatoes.com/tv/best_of_american_pickers/s13/e10,american pickers,texas hold 'em
26,https://www.rottentomatoes.com/tv/a_little_late_with_lilly_singh/s01/e13,a little late with lilly singh,america ferrera
27,https://www.rottentomatoes.com/tv/hells_kitchen/s12/e08,hell's kitchen,8 chefs compete
28,https://www.rottentomatoes.com/tv/best_of_american_pickers/s17/e10,american pickers,superhero heaven
29,https://www.rottentomatoes.com/tv/best_of_american_pickers/s10/e08,american pickers,picking it forward
30,https://editorial.rottentomatoes.com/article/truth-be-told-stars-octavia-spencer-and-aaron-paul-examine-our-true-crime-obsession/,forensic files,time will tell
31,https://www.rottentomatoes.com/celebrity/simon_lloyd,american pickers,good & evel
32,https://www.rottentomatoes.com/tv/a_little_late_with_lilly_singh/s02/e53,a little late with lilly singh,nick offerman
35,https://www.rottentomatoes.com/tv/the_amber_ruffin_show/s01/e22,the amber ruffin show,episode #22
36,https://www.rottentomatoes.com/tv/forensic_files/s11/e19,forensic files,no safe place
37,https://www.rottentomatoes.com/tv/the_amber_ruffin_show/s02/e15,the amber ruffin show,episode #15
38,https://www.rottentomatoes.com/tv/grand_crew/s01/e06,grand crew,wine & pie
39,https://www.rottentomatoes.com/tv/a_little_late_with_lilly_singh/s02/e58,a little late with lilly singh,justin baldoni
40,https://www.rottentomatoes.com/tv/the_innocence_files/s01/e03,forensic files,innocence lost
41,https://www.rottentomatoes.com/tv/kitchen-nightmares/s05/e04,kitchen nightmares,ms. jean's southern cuisine
43,https://www.rottentomatoes.com/tv/kitchen-nightmares/s05/e11,kitchen nightmares,mill street bistro part 1
44,https://editorial.rottentomatoes.com/guide/great-feel-good-movies/,late night with seth meyers,"chris evans, action bronson, elle king (at home edition)"
45,https://www.rottentomatoes.com/tv/late_night_with_seth_meyers/s07/e129,late night with seth meyers,"amy sedaris, joy reid (at home edition)"
46,https://www.rottentomatoes.com/tv/late_night_with_seth_meyers/s09/e79,late night with seth meyers,"ben stiller, rose matafeo"
47,https://www.rottentomatoes.com/tv/kitchen-nightmares/s05/e10,kitchen nightmares,nino's italian restaurant
48,https://www.rottentomatoes.com/tv/late_night_with_seth_meyers/s07/e64,late night with seth meyers,"claire danes, zach woods, gov. gavin newsom"
49,https://www.rottentomatoes.com/tv/kitchen-nightmares/s02/e05,kitchen nightmares,lido di manhattan
50,https://www.rottentomatoes.com/tv/late_night_with_seth_meyers/s07/e77,late night with seth meyers,"emily ratajkowski, cillian murphy, david simon"
51,https://www.rottentomatoes.com/tv/keeping_up_with_the_kardashians,keeping up with the kardashians,family first
52,https://www.rottentomatoes.com/tv/million_dollar_listing_los_angeles/s07/e05,million dollar listing los angeles,flagg vs. serhant
53,https://www.rottentomatoes.com/tv/million_dollar_listing_los_angeles/s06/e09,million dollar listing los angeles,mexican retreat
54,https://www.rottentomatoes.com/tv/forensic_files/s05/e10,forensic files,nursery crimes
55,https://www.rottentomatoes.com/tv/million_dollar_listing_los_angeles/s07/e03,million dollar listing los angeles,real estate on wheels
56,https://www.rottentomatoes.com/tv/saved_by_the_bell/s03/e05,saved by the bell,house party
57,https://www.rottentomatoes.com/tv/pawn_stars/s08/e21,pawn stars,on a mission to pawn
58,https://www.rottentomatoes.com/tv/parenthood/s06/e06,parenthood,too big to fail
59,https://www.rottentomatoes.com/tv/saved_by_the_bell/s04/e21,saved by the bell,no hope with dope
60,https://www.rottentomatoes.com/tv/pawn_stars/s09/e14,pawn stars,the great pawnbino
61,https://www.rottentomatoes.com/tv/parenthood/s03/e17,parenthood,"remember me, i'm the one who loves you"
62,https://www.rottentomatoes.com/tv/million_dollar_listing_los_angeles/s08/e14,million dollar listing los angeles,making moves
63,https://www.rottentomatoes.com/tv/saved_by_the_bell/s04/e18,saved by the bell,palm springs weekend - pt 1
64,https://www.rottentomatoes.com/tv/saved_by_the_bell/s02/e12,saved by the bell,the mamas & papas
65,https://www.rottentomatoes.com/tv/saved_by_the_bell/s03/e02,saved by the bell,zack's war
66,https://www.rottentomatoes.com/tv/pawn_stars/s16/e19,pawn stars,"happy meal, happy deal"
67,https://www.rottentomatoes.com/tv/parenthood/s05/e02,parenthood,all aboard who's coming aboard
68,https://www.rottentomatoes.com/tv/pawn_stars/s10/e31,pawn stars,the chum system
69,https://www.rottentomatoes.com/tv/parenthood/s02/e01,parenthood,"i hear you, i see you"
70,https://www.rottentomatoes.com/tv/million_dollar_listing_los_angeles/s06/e04,million dollar listing los angeles,third degree burn
71,https://www.rottentomatoes.com/tv/parenthood/s04/e14,parenthood,"one step forward, two steps back"
72,https://www.rottentomatoes.com/tv/pawn_stars/s10/e40,pawn stars,chum's secret stash
73,https://www.rottentomatoes.com/tv/saved_by_the_bell/s05/e14,saved by the bell,the will
74,https://www.rottentomatoes.com/tv/superstore/s03/e01,superstore,grand re-opening
75,https://www.rottentomatoes.com/tv/summer_house/s05/e09,summer house,should i stay or should i go?
76,https://www.rottentomatoes.com/tv/summer_house/s06/e14,summer house,keep prom and carry on
77,https://www.rottentomatoes.com/tv/summer_house/s01/e05,summer house,"wine, whining, and wieners"
78,https://www.rottentomatoes.com/tv/summer_house/s07/e17,summer house,reunion part 2
79,https://www.rottentomatoes.com/tv/summer_house/s03/e02,summer house,cloudy with a chance of arguments
80,https://www.rottentomatoes.com/tv/superstore/s03/e17,superstore,district manager
81,https://www.rottentomatoes.com/tv/superstore/s04/e19,superstore,scanners
82,https://www.rottentomatoes.com/tv/superstore/s06/e11,superstore,deep cleaning
83,https://www.rottentomatoes.com/tv/summer_house/s04/e14,summer house,rave goodbye
84,https://www.rottentomatoes.com/tv/superstore/s06/e02,superstore,"california, part 2"
85,https://www.rottentomatoes.com/tv/summer_house/s03/e07,summer house,epic grand gesture
86,https://www.rottentomatoes.com/tv/superstore/s05/e03,superstore,forced hire
87,https://www.rottentomatoes.com/tv/superstore/s05/e07,superstore,shoplifter rehab
88,https://www.rottentomatoes.com/tv/superstore/s04/e07,superstore,new initiative
89,https://www.rottentomatoes.com/tv/superstore/s02/e01,superstore,olympics
90,https://www.rottentomatoes.com/tv/superstore/s03/e15,superstore,amnesty
91,https://www.rottentomatoes.com/tv/superstore/s03/e05,superstore,sal's dead
92,https://www.rottentomatoes.com/tv/superstore/s06/e15,superstore,all sales final
93,https://www.rottentomatoes.com/tv/this_is_us/s03/e09,this is us,the beginning is the end is the beginning
94,https://www.rottentomatoes.com/tv/el_socio/s07/e12,the profit,a crash course in van life
95,https://www.rottentomatoes.com/tv/the_voice_usa/s21/e13,the voice,the knockouts part 3
96,https://www.rottentomatoes.com/tv/el_socio/s07/e09,the profit,killed by kindness
97,https://www.rottentomatoes.com/tv/this_is_us/s05,this is us,changes
98,https://www.rottentomatoes.com/tv/the_voice_usa/s19/e15,the voice,live top 9 performances
99,https://www.rottentomatoes.com/tv/top_chef/s12/e10,top chef,for julia & jacques
100,https://www.rottentomatoes.com/tv/el_socio/s06,the profit,smithfly
101,https://www.rottentomatoes.com/tv/top_chef/s05/e07,top chef,focus group
102,https://www.rottentomatoes.com/m/talk_to_me_2023,the profit,who's the big cheese
103,https://www.rottentomatoes.com/tv/top_chef/s06/e14,top chef,finale: part 2
104,https://www.rottentomatoes.com/tv/this_is_us/s06/e01,this is us,the challenger
105,https://www.rottentomatoes.com/tv/el_socio/s05/e16/,the profit,hangout lighting
106,https://www.rottentomatoes.com/tv/zoey_s_extraordinary_playlist/s02/e06,zoey's extraordinary playlist,zoey's extraordinary reckoning
111,https://editorial.rottentomatoes.com/article/new-on-peacock-in-march-2023/,wwe hall of fame,wwe hall of fame 2020
112,https://www.rottentomatoes.com/celebrity/roddy_piper,wwe hall of fame,wwe hall of fame 2005
113,https://www.rottentomatoes.com/tv/paradise_run/s03/e16,wwe superstars,episode 22
114,https://www.rottentomatoes.com/tv/best_week_ever/s01,wwe hall of fame,wwe hall of fame 2004
115,https://www.rottentomatoes.com/tv/wwe_rivals/s01/e04,wwe nxt,episode 04
116,https://www.rottentomatoes.com/tv/harry/s01/e75,wwe superstars,episode 44
117,https://www.rottentomatoes.com/tv/tanked_sea_lebrity_edition/s01/e15,wwe superstars,episode 43
120,https://editorial.rottentomatoes.com/article/tv-premiere-dates-2022-archive/2/,wwe talking snack,jeff hardy on being his dad to his daughters
122,https://editorial.rottentomatoes.com/article/new-movies-tv-shows-streaming-in-september-2023/7/,wwe nxt,episode #24
123,https://www.rottentomatoes.com/tv/listing_impossible/s01/e03,listing impossible,th best castle in orange county
124,https://www.rottentomatoes.com/tv/e_true_hollywood_story/s01/e06,e! true hollywood story,what's killing music's biggest stars?
