,series,episode,rt_synopsis
0,mr. robot,eps3.6_fredrick+tanya.chk,"

                Mr. Robot wants answers; the FBI closes in; Angela hits the rewind button.
            
Show More
"
1,open house nyc,fun with design,"
Designer Garrow Kedigian shows a bachelor pad that makes up for its lack of scale with design drama; a Venice, Calif., house; a Malibu hilltop home with Pacific Ocean views; an Austin, Texas, home constructed around Southern views.
"
2,superstore,grand re-opening,"

                The Cloud 9 employees rush to finish rebuilding the store in time for its grand reopening; Amy and Jonah confront their awkward kiss; Glenn discovers something about himself; Garrett avoids Jonah; Mateo worries about the voicemail he left for Jeff.
            
Show More
"
3,million dollar listing new york,from pocket squares to pocket listings,"
Fredrik finds his dream listing, with a nightmare seller; Ryan takes on an expensive, unique apartment; Luis finds himself in an unfortunate pairing.
"
4,heroes,hysterical blindness,"

                Samuel gets ready for new additions to his family; Claire thinks her roommate might have a hidden agenda; Peter finds a way to connect with Emma; Sylar desperately tries to remember who he used to be.
            
Show More
"
5,the office,stress relief - part 2 (edited),"

                The office prepares for a Michael Scott roasting session that ultimately causes Michael to take a personal day.
            
Show More
"
6,total bellas,the big mistake,"

                The Bellas overload their schedule the week of their first Birdiebee fashion show, and an overwhelmed Brie cancels on an appearance the day before, leaving Nicole frustrated.
            
Show More
"
7,hell's kitchen,19 chefs compete,"

                The final five chefs must impress tough critics with a gourmet burger; a huge misstep brings dinner service to a halt; one chef is eliminated.
            
Show More
"
8,wild child,coming of asia,"

                Sheinelle Jones travels to Asia to spend a day with the newest generation of native animals, from infant monkeys to dolphin calves.
            
Show More
"
9,frasier,it's hard to say goodbye if you won't leave,"

                On the advice of his friends, Frasier declares his love for Kate (Mercedes Ruehl) -- but she has other plans.
            
Show More
"
10,30 rock,jackie jormp-jomp,"

                Liz must find a way to occupy her time during a short-term suspension from work; Jack asks Jenna to create promotional buzz when the film studio has second thoughts about releasing her Janis Joplin biopic.
            
Show More
"
11,the amber ruffin show,episode #22,"

                Amber examines police brutality during traffic stops, chats with a fly from Congressman Matt Gaetz's office and sings a song explaining ghost guns.
            
Show More
"
12,bel-air,keep ya head up,"

                Will finds he doesn't fit in at his new school in Bel Air and realizes he'll need to rethink how he navigates this new world; the Banks family starts to adjust to life with Will.
            
Show More
"
13,young rock,corpus christi,"

                Texas, 1996: Dwayne's first match will be for the WWF; after meeting legends and future legends backstage, he soon discovers there's more to the match than just the moves -- he needs to get a hostile audience to care.
            
Show More
"
14,heroes,six months ago,"

                Mohinder's father (Erick Avari) arrives in New York to begin his search for individuals with extraordinary abilities; Hiro tries to change the future for someone important.
            
Show More
"
15,eurek,all the rage,"

                Blind rage infects everyone at Global Dynamics with catastrophic results.
            
Show More
"
16,million dollar listing los angeles,making moves,"

                Heather's pregnancy test puts things into perspective for Josh Altman; James and David may walk away from the St. Ives listing; Josh Flagg shifts his focus to a personal issue; David heads off to Italy to pop the question to Adrian.
            
Show More
"
17,keeping up with the kardashians,guilt trip,"

                Scott becomes devastated when he hears a rumor about Kourtney; Kim returns to work and fears she might not be cut out for her public lifestyle anymore; Kendall gets upset with Caitlyn when her efforts to spend time with her dad are taken for granted.
            
Show More
"
18,30 rock,sandwich day,"

                Floyd, Liz's ex-boyfriend, needs a place to stay overnight after his flight is canceled; Jack is demoted to the 12th floor, causing him to question his future with the company.
            
Show More
"
19,frasier,junior agent,"

                Frasier gets a surprise when he confronts his agent about a young psychiatrist whose show is out-rating his own.
            
Show More
"
20,million dollar listing new york,the kids aren't alright,"

                Ryan and his Brooklyn team sell as many houses as possible; in order for Fredrik to land a building in SoHo, he has to prove that he's done his homework; Steve wonders if he's become a babysitter when his young clients refuse to behave.
            
Show More
"
21,earth odyssey with dylan dreyer,life on the edge,"
Dylan Dreyer travels around the world to find extreme nature in the wild, from monkeys at the highest peaks to polar bears in the coldest regions.
"
22,angelyne,pink clouds,"

                Lounge acts, funerals, lost years, pink escapes; the truth about the world's need for the truth about Angelyne.
            
Show More
"
23,american pickers,hometown pickin',"

                The guys find themselves waist deep in Kenny's ragtag collection; a man's stockpile is so large that he keeps it in an old school; a pair of muskets that could be centuries old; the guys pick in Mike's hometown.
            
Show More
"
24,total bellas,a bella babyshower,"

                The ""babymoon"" in Flagstaff, Ariz., comes to an end; Brie and Nicole disagree with their mom about who should be invited to their baby shower.
            
Show More
"
25,nurses,undisclosed conditions,"

                Wolf is assigned to a patient that has lost hope that she will receive a life-saving lung transplant in time; Keon confides in a former football friend about a traumatic incident; Naz is assigned as Sinead's assistant.
            
Show More
"
26,wwe superstars,episode 44,"

                Whoopi Goldberg (""The View,"" ""Strut""); Harry competes with Jessie Graff (""American Ninja Warrior"") in an obstacle-course race; WWE superstars John Cena and Nikki and Brie Bella; Savannah Guthrie (""Today"").
            
Show More
"
27,better late than never,munich,"

                The men go to Munich and immerse themselves in the culture, customs, and traditions of the city, including participating in Oktoberfest, visiting a nude park, and re-creating their own Julie Andrews moment in the Bavarian Alps.
            
Show More
"
28,sisterhood of hip hop,momma drama,"

                Brianna struggles to take care of business without Kiki by her side; Bia gets career-altering news; Nyemiah makes an emotional breakthrough that changes her whole outlook on life.
            
Show More
"
29,good girls,au jus,"

                Sick of working for Rio, the women take drastic measures to strongarm Lucy, their unwitting partner in crime, with gruesome results.
            
Show More
"
30,the profit,smithfly,"
A master bagel maker builds a big following in Chicago, but even as he dreams of expanding beyond the Windy City his business is growing stale; if Marcus can't push him to rise to the occasion, this would-be mogul won't be going anywhere.
"
31,parenthood,too big to fail,"

                Slow times at the Luncheonette leave Crosby feeling stressed; Amber helps salvage an ill-fated game night Sarah planned for Ruby; Drew considers his future.
            
Show More
"
32,downton abbey,xmas special,"

                Tensions arise as Downton Abbey hosts a lavish Christmas party.
            
Show More
"
33,little big shots,new sheriff in town,"

                A 5-year-old cowboy; an 8-year-old slackliner from Japan; a blues guitarist from England; a 4-year-old geography wiz; two young girls who became viral sensations.
            
Show More
"
34,yellowstone,i want to be him,"

                Beth confronts her father's houseguest; Kayce and his family search for a new home; Jamie seeks answers from Garrett; Lloyd loses his cool.
            
Show More
"
35,revelations,hour six,"

                Dr. Massey and Sister Jo race to Galilee to try to stop the impending birth of the anti-Christ and to find Hawk.
            
Show More
"
36,summer house,reunion part 2,"

                Mya reveals new details about her breakup with Oliver; Danielle and Lindsay ponder the end of a 7-year friendship; an emotional standoff between Carl and Kyle has everyone in tears, including Andy.
            
Show More
"
37,this is us,changes,"
The Pearsons gather to celebrate their 40th birthday while musing about the day they were born.
"
38,charmed,sympathy for the demon,"

                Vengeful demon torments trapped sisters with their worst fears.
            
Show More
"
39,open house nyc,starry retreats,"

                Inside Vivica A. Fox's dramatic Los Angeles townhome.
            
Show More
"
40,grand crew,wine & headlines,"

                The crew all do their best to cope after a bad news cycle.
            
Show More
"
41,one team: the power of sports,never too old for gold,"

                Some of the NFL's biggest stars visit the community; alpine skier Mikaela Shiffrin gets in tune with the mountains; these Olympic bobsledders race for something better than gold; Paralympian Lex Gillette has come a long way since his first jump.
            
Show More
"
